Strain Rate,Temperature,True Strain,True Stress,True Plastic Strain
0.0001,27,0.10891,940.81684,0.00238
0.0001,27,0.10892,940.82596,0.00239
0.0001,27,0.10892,940.82222,0.00239
0.0001,27,0.10892,940.82478,0.00239
0.0001,27,0.10892,940.83233,0.00239
0.0001,27,0.10893,940.83413,0.0024
0.0001,27,0.10894,940.83986,0.00241
0.0001,27,0.10894,940.8427,0.00241
0.0001,27,0.10894,940.85746,0.00241
0.0001,27,0.10894,940.85453,0.00241
0.0001,27,0.10895,940.85692,0.00242
0.0001,27,0.10895,940.86588,0.00242
0.0001,27,0.10895,940.86898,0.00242
0.0001,27,0.10896,940.86875,0.00243
0.0001,27,0.10896,940.86339,0.00243
0.0001,27,0.10897,940.86754,0.00244
0.0001,27,0.10897,940.8676,0.00244
0.0001,27,0.10897,940.87168,0.00244
0.0001,27,0.10898,940.88153,0.00245
0.0001,27,0.10898,940.89151,0.00245
0.0001,27,0.10899,940.90172,0.00246
0.0001,27,0.10899,940.90145,0.00246
0.0001,27,0.10899,940.90133,0.00246
0.0001,27,0.109,940.90937,0.00247
0.0001,27,0.109,940.9145,0.00247
0.0001,27,0.109,940.91088,0.00247
0.0001,27,0.10901,940.91458,0.00248
0.0001,27,0.10901,940.92707,0.00248
0.0001,27,0.10901,940.92695,0.00248
0.0001,27,0.10902,940.92951,0.00249
0.0001,27,0.10902,940.92424,0.00249
0.0001,27,0.10902,940.92428,0.00249
0.0001,27,0.10903,940.92934,0.0025
0.0001,27,0.10903,940.92627,0.0025
0.0001,27,0.10903,940.92446,0.0025
0.0001,27,0.10904,940.92688,0.00251
0.0001,27,0.10904,940.93398,0.00251
0.0001,27,0.10905,940.94491,0.00252
0.0001,27,0.10905,940.94678,0.00252
0.0001,27,0.10906,940.9572,0.00253
0.0001,27,0.10906,940.96012,0.00253
0.0001,27,0.10906,940.95682,0.00253
0.0001,27,0.10907,940.95022,0.00254
0.0001,27,0.10907,940.94223,0.00254
0.0001,27,0.10907,940.93977,0.00254
0.0001,27,0.10908,940.94494,0.00255
0.0001,27,0.10908,940.94968,0.00255
0.0001,27,0.10909,940.95622,0.00256
0.0001,27,0.10909,940.95044,0.00256
0.0001,27,0.1091,940.95546,0.00257
0.0001,27,0.1091,940.9576,0.00257
0.0001,27,0.1091,940.95885,0.00257
0.0001,27,0.1091,940.95996,0.00257
0.0001,27,0.10911,940.96986,0.00258
0.0001,27,0.10911,940.97846,0.00258
